subject,onset,-4,-2,0,2,4,6,8,10,12,conditions,wrongness,run
YOU_FIRSTTHIRD_01,210,0.99848,0.76238,1.9894,2.8348,2.6948,2.5759,2.4518,-0.53589,-1.9182,comp_other,4,4
YOU_FIRSTTHIRD_01,242,1.8725,1.2407,1.5692,2.3769,2.7005,1.5873,1.273,0.69187,0.61874,comp_other,4,4
YOU_FIRSTTHIRD_01,259,0.32192,0.31146,0.22436,0.72232,0.25149,0.61428,0.18351,0.65567,0.49749,comp_other,4,4
YOU_FIRSTTHIRD_01,266,0.65567,0.49749,0.53163,1.604,1.4033,1.5402,1.5292,1.7849,0.20768,comp_other,3,4
YOU_FIRSTTHIRD_01,281,1.4214,1.7526,1.9597,2.0609,2.2553,2.5233,1.6246,1.3852,2.1491,comp_other,1,4
YOU_FIRSTTHIRD_01,323,-0.075976,0.71589,1.7768,2.0119,2.2858,2.0199,2.2635,1.748,1.497,comp_other,1,4
YOU_FIRSTTHIRD_01,332,1.5735,1.5037,1.8896,2.4385,0.89147,0.54101,1.8862,2.4298,1.3787,comp_other,4,4
YOU_FIRSTTHIRD_01,363,1.2127,1.2647,1.3519,1.4682,1.5824,0.34108,0.72641,1.9994,0.83549,comp_other,4,4
YOU_FIRSTTHIRD_01,381,0.73155,0.83554,0.17694,2.0825,0.63199,1.8998,1.6117,1.4934,1.1396,comp_other,3,4
YOU_FIRSTTHIRD_01,390,0.92309,0.74525,0.58572,0.89083,1.0752,1.0058,0.76656,0.68351,0.80226,comp_other,4,4
YOU_FIRSTTHIRD_01,3,-0.85069,-0.71469,-0.74681,-0.67424,-0.79137,-0.72935,-0.75986,-0.75631,-0.82144,comp_self,2,3
YOU_FIRSTTHIRD_01,11,-0.82144,-1.2221,-1.227,-1.2889,-1.2885,-1.457,-1.5034,-1.3242,-0.84595,comp_self,3,3
YOU_FIRSTTHIRD_01,29,-1.0636,-0.73275,-1.4761,-1.934,-1.7136,-1.862,-1.8302,-1.5966,-1.55,comp_self,1,3
YOU_FIRSTTHIRD_01,64,-1.7191,-1.0316,-0.93135,-0.76656,-0.88156,-1.1067,-1.0254,-0.65081,-1.0775,comp_self,2,3
YOU_FIRSTTHIRD_01,94,-0.99598,-0.77389,-0.79771,-0.53531,-0.29931,-0.47118,0.020838,0.097817,-0.49051,comp_self,3,3
YOU_FIRSTTHIRD_01,102,-0.49051,-0.73332,-0.73397,-1.0262,-0.50049,-0.83133,-0.94896,-1.0209,-0.71838,comp_self,1,3
YOU_FIRSTTHIRD_01,110,-0.71838,-0.27781,-0.35147,-1.1574,-1.5539,-0.92903,-1.6493,-2.7412,-1.4126,comp_self,2,3
YOU_FIRSTTHIRD_01,126,-0.98395,-0.97255,-1.3308,-1.1724,-1.1499,-1.144,-1.2541,-1.1249,-1.2021,comp_self,1,3
YOU_FIRSTTHIRD_01,134,-1.2021,-1.1076,-0.82051,0.21524,-0.053873,-0.21494,-1.0082,-1.2404,-1.1361,comp_self,3,3
YOU_FIRSTTHIRD_01,177,-1.462,-0.95673,-1.7409,-1.53,-1.0598,-0.69262,-0.64763,-0.42864,-0.16793,comp_self,2,3
YOU_FIRSTTHIRD_01,191,-0.46535,-0.23131,-0.17313,-0.52722,-1.3705,-0.93022,0.15117,-0.27725,-2.2714,comp_self,2,3
YOU_FIRSTTHIRD_01,220,2.0398,0.88435,1.2239,2.2846,1.6882,1.9798,1.7278,0.35398,0.87107,comp_self,3,4
YOU_FIRSTTHIRD_01,235,0.72326,0.939,-0.60304,-2.6711,0.32911,1.0998,1.8062,1.8725,1.2407,comp_self,2,4
YOU_FIRSTTHIRD_01,274,0.20768,0.17191,1.4442,1.7629,1.6161,1.8319,1.5517,1.4214,1.7526,comp_self,2,4
YOU_FIRSTTHIRD_01,289,2.1491,1.8243,1.8188,-0.93721,-3.2132,-0.44556,0.43592,0.85126,1.0688,comp_self,2,4
YOU_FIRSTTHIRD_01,296,0.85126,1.0688,0.60229,1.2066,1.8103,2.0197,1.1676,1.3098,1.5834,comp_self,3,4
YOU_FIRSTTHIRD_01,305,0.8468,0.72388,1.2335,0.91382,0.66505,-0.048501,0.82003,1.0536,1.9567,comp_self,3,4
YOU_FIRSTTHIRD_01,314,0.2056,1.2951,1.2756,2.023,1.4554,1.3326,1.2636,0.22352,0.36032,comp_self,1,4
YOU_FIRSTTHIRD_01,339,2.4298,1.3787,-2.5526,-2.0305,2.719,1.9474,0.68067,0.54018,1.1811,comp_self,2,4
YOU_FIRSTTHIRD_01,346,0.54018,1.1811,0.96719,0.42636,1.7066,0.6241,0.49076,0.67084,0.0023893,comp_self,2,4
YOU_FIRSTTHIRD_01,354,0.0023893,0.15261,0.2359,0.58831,1.7931,1.7238,1.6426,1.5848,1.4774,comp_self,2,4
YOU_FIRSTTHIRD_01,11,0.02756,0.15579,0.15637,-0.065946,-0.24275,-0.53049,-0.46234,-0.75406,-0.48339,3rd_P_harm,3,5
YOU_FIRSTTHIRD_01,20,-0.74439,-0.59738,0.067655,0.26692,0.20894,-0.17497,-0.23434,-0.29692,-0.49809,3rd_P_harm,4,5
YOU_FIRSTTHIRD_01,29,-0.49224,-0.54793,-0.24301,0.044336,0.30622,-0.12586,0.07336,-0.50989,-0.57644,3rd_P_harm,3,5
YOU_FIRSTTHIRD_01,46,-0.54309,0.080521,-0.23844,0.030001,-0.62077,-0.28383,-0.9759,0.43107,0.054962,3rd_P_harm,3,5
YOU_FIRSTTHIRD_01,53,0.43107,0.054962,0.30715,1.1499,1.029,1.0641,-0.11807,0.45082,-0.025553,3rd_P_harm,4,5
YOU_FIRSTTHIRD_01,62,-0.244,-0.50039,-0.33874,0.015148,0.24446,-0.25523,-0.1024,-0.56528,-0.64107,3rd_P_harm,2,5
YOU_FIRSTTHIRD_01,69,-0.56528,-0.64107,-0.34331,-0.234,-0.13227,-0.28774,-0.27301,-0.18416,-0.4224,3rd_P_harm,3,5
YOU_FIRSTTHIRD_01,76,-0.18416,-0.4224,-0.73125,-1.0644,-0.7598,-0.1694,-0.050355,-0.44648,-0.51851,3rd_P_harm,3,5
YOU_FIRSTTHIRD_01,159,0.26124,0.42228,0.35429,0.39138,-0.051307,-0.067666,0.32335,0.045372,-0.11609,3rd_P_harm,1,5
YOU_FIRSTTHIRD_01,182,-0.66358,-0.21503,-0.14047,0.1605,0.34398,0.41961,0.34204,0.080107,-0.14407,3rd_P_harm,4,5
YOU_FIRSTTHIRD_01,202,-0.59929,-0.10058,-0.30148,-0.018083,0.41995,0.12229,0.70224,-0.023025,-0.18304,3rd_P_harm,3,6
YOU_FIRSTTHIRD_01,209,-0.023025,-0.18304,0.37808,0.36765,0.28026,0.0933,0.218,0.62895,0.079096,3rd_P_harm,4,6
YOU_FIRSTTHIRD_01,224,-0.02706,0.08302,-0.29294,1.1262,1.0509,0.92614,0.61412,0.5342,0.80024,3rd_P_harm,4,6
YOU_FIRSTTHIRD_01,232,0.80024,0.82083,0.47739,0.25835,0.68033,-0.45212,-0.71,-0.83506,-0.93634,3rd_P_harm,1,6
YOU_FIRSTTHIRD_01,249,0.010496,0.56838,0.78152,-0.11405,-0.26609,-0.25955,-0.68327,0.48363,0.92851,3rd_P_harm,4,6
YOU_FIRSTTHIRD_01,265,0.57783,0.36301,-0.65352,-0.29332,-1.5683,0.7206,-0.86572,0.46524,0.46027,3rd_P_harm,4,6
YOU_FIRSTTHIRD_01,273,0.46027,0.30648,0.23852,0.44112,-0.84234,-0.090156,-0.1697,-0.49069,-1.2068,3rd_P_harm,4,6
YOU_FIRSTTHIRD_01,290,0.71601,1.1078,1.2619,1.6484,1.4022,1.2615,-0.49203,0.95304,-0.929,3rd_P_harm,4,6
YOU_FIRSTTHIRD_01,347,-0.26397,1.4953,1.1818,0.98589,1.3147,0.97207,-0.56179,0.49722,-1.1964,3rd_P_harm,4,6
YOU_FIRSTTHIRD_01,372,-1.0239,-0.1913,0.48111,0.32781,0.6113,0.74259,1.0353,0.68875,0.83482,3rd_P_harm,3,6
YOU_FIRSTTHIRD_01,381,-0.39898,-0.76008,0.39624,0.42437,0.30918,-0.99789,-0.64031,-0.71896,-0.2197,3rd_P_harm,2,6
YOU_FIRSTTHIRD_01,3,-0.25277,0.15832,0.33633,0.034083,-0.076013,-0.18829,0.2644,0.23053,0.02756,3rd_P_neut,4,5
YOU_FIRSTTHIRD_01,38,-0.76344,-0.50255,-0.4782,0.013557,0.062551,-0.20898,-0.010822,-0.048091,-0.54309,3rd_P_neut,2,5
YOU_FIRSTTHIRD_01,86,-0.61581,-0.34187,0.019584,0.21392,-0.060503,-0.042126,-0.095153,0.26194,0.062551,3rd_P_neut,2,5
YOU_FIRSTTHIRD_01,95,0.26297,0.78835,0.77826,0.73371,0.83497,-0.89725,-0.61743,-0.97632,0.059422,3rd_P_neut,2,5
